cao_number,pct_with_salary,num_files,num_with_salary
10,50.0,32,16
20,100.0,2,2
21,100.0,14,14
26,100.0,17,17
35,94.44444444444444,18,17
41,100.0,20,20
43,80.0,20,16
50,100.0,12,12
51,57.14285714285714,21,12
80,100.0,13,13
83,100.0,14,14
148,100.0,15,15
156,44.44444444444444,9,4
157,82.35294117647058,17,14
163,9.090909090909092,11,1
182,100.0,14,14
214,71.42857142857143,21,15
218,50.0,12,6
233,94.11764705882352,17,16
234,10.0,20,2
243,100.0,26,26
245,100.0,14,14
254,80.95238095238095,21,17
301,53.84615384615385,26,14
306,57.14285714285714,14,8
316,100.0,13,13
317,92.85714285714286,14,13
331,0.0,4,0
359,100.0,15,15
405,100.0,12,12
433,78.57142857142857,28,22
465,100.0,12,12
475,76.92307692307693,13,10
487,100.0,16,16
496,28.000000000000004,25,7
509,100.0,1,1
518,100.0,10,10
526,44.44444444444444,18,8
533,100.0,7,7
549,92.3076923076923,13,12
557,100.0,2,2
573,100.0,18,18
592,78.57142857142857,14,11
604,100.0,1,1
609,100.0,2,2
615,66.66666666666666,9,6
625,9.090909090909092,11,1
632,100.0,10,10
633,97.43589743589743,39,38
637,88.23529411764706,17,15
650,100.0,21,21
679,96.42857142857143,28,27
683,100.0,12,12
721,22.22222222222222,18,4
725,100.0,23,23
727,100.0,36,36
730,76.47058823529412,17,13
748,17.647058823529413,17,3
750,7.6923076923076925,26,2
759,100.0,24,24
791,100.0,14,14
822,93.33333333333333,15,14
823,100.0,16,16
824,100.0,15,15
826,94.11764705882352,17,16
833,100.0,12,12
884,100.0,13,13
924,100.0,17,17
932,100.0,2,2
1022,46.666666666666664,15,7
1060,40.0,25,10
1165,78.57142857142857,28,22
1188,55.55555555555556,9,5
1285,100.0,18,18
1287,94.44444444444444,18,17
1291,0.0,7,0
1296,0.0,17,0
1345,42.857142857142854,7,3
1393,100.0,14,14
1471,83.33333333333334,12,10
1494,27.77777777777778,18,5
1496,77.77777777777779,27,21
1504,100.0,3,3
1536,23.076923076923077,13,3
1547,100.0,11,11
1574,81.81818181818183,11,9
1612,61.904761904761905,21,13
1618,10.0,10,1
1639,100.0,13,13
1869,100.0,20,20
1944,65.51724137931035,29,19
1945,100.0,18,18
2070,87.5,8,7
2266,92.3076923076923,13,12
2297,100.0,15,15
2535,19.047619047619047,21,4
2948,97.2972972972973,37,36
3313,21.428571428571427,14,3
3335,60.0,10,6
