valid_from,monthly_gross_eur,hourly_gross_eur
1990-01-01,909.65,5.53
1991-01-01,937.96,5.70
1992-01-01,968.00,5.88
1993-01-01,981.62,5.97
1994-01-01,981.62,5.97
1995-01-01,981.62,5.97
1996-01-01,991.06,6.02
1997-01-01,1007.57,6.13
1998-01-01,1032.94,6.28
1999-01-01,1064.21,6.47
2000-01-01,1091.93,6.64
2001-01-01,1154.46,7.02
2002-01-01,1206.60,7.33
2003-01-01,1249.20,7.59
2004-01-01,1264.80,7.69
2005-01-01,1264.80,7.69
2006-01-01,1272.60,7.74
2007-01-01,1300.80,7.91
2008-01-01,1335.00,8.12
2009-01-01,1381.20,8.40
2010-01-01,1407.60,8.56
2011-01-01,1424.40,8.66
2012-01-01,1446.60,8.79
2013-01-01,1469.40,8.93
2014-01-01,1486.00,9.03
2015-01-01,1502.00,9.12
2016-01-01,1524.60,9.26
2017-01-01,1551.60,9.43
2018-01-01,1578.00,9.59
2019-01-01,1615.80,9.82
2020-01-01,1653.60,10.05
2021-01-01,1684.80,10.24
2022-01-01,1725.00,10.48
2023-01-01,1934.40,11.75
2024-01-01,2182.92,13.27
2025-01-01,2312.87,14.06
