cao_number,earliest_start,latest_end,num_files,num_gaps,total_gap_days,is_fully_covered,coverage_months
10,2011-01-01,2027-03-31,32,9,9.0,False,194.92402464065708
20,2012-01-01,2016-12-31,2,1,1.0,False,59.9917864476386
21,2010-01-01,2025-12-31,14,7,7.0,False,191.9671457905544
26,2011-04-01,2025-04-30,17,8,8.0,False,168.96919917864477
35,2011-07-01,2026-08-31,18,5,5.0,False,182.0123203285421
41,2010-07-01,2025-09-30,20,7,1102.0,False,182.99794661190964
43,2011-04-01,2026-06-30,20,8,8.0,False,182.96509240246405
50,2010-04-01,2027-12-31,12,7,372.0,False,212.99383983572895
51,2011-01-01,2025-02-28,21,9,9.0,False,169.92197125256675
80,2010-04-01,2027-03-31,13,11,376.0,False,203.95893223819303
83,2009-03-01,2026-06-30,14,9,9.0,False,207.9671457905544
148,2010-04-01,2025-12-31,15,6,6.0,False,189.01026694045174
156,2011-03-01,2025-01-31,9,4,826.0,False,167.06365503080082
157,2010-04-01,2025-03-31,17,9,9.0,False,179.97535934291582
163,2009-07-01,2025-03-31,11,8,8.0,False,188.97741273100615
182,2012-08-01,2026-12-31,14,4,1465.0,False,172.97741273100615
214,2010-01-01,2026-03-31,21,7,7.0,False,194.92402464065708
218,2012-01-01,2026-12-31,12,6,371.0,False,179.97535934291582
233,2012-01-01,2025-06-30,17,8,8.0,False,161.93839835728951
234,2010-05-01,2026-12-31,20,5,5.0,False,200.0164271047228
243,2011-03-01,2026-06-30,26,7,251.0,False,183.9835728952772
245,2011-10-01,2025-12-31,14,7,7.0,False,171.00616016427105
254,2011-01-01,2025-12-31,21,6,6.0,False,179.97535934291582
301,2008-05-01,2025-12-31,26,6,6.0,False,212.00821355236138
306,2010-04-01,2025-04-30,14,8,738.0,False,180.96098562628336
316,2011-04-01,2026-03-31,13,6,6.0,False,179.97535934291582
317,2009-01-01,2026-12-31,14,6,311.0,False,215.95071868583162
331,2010-10-01,2016-06-30,4,3,368.0,False,68.96098562628337
359,2011-04-01,2026-09-30,15,9,9.0,False,185.9876796714579
405,2010-07-01,2025-06-30,12,6,2348.0,False,179.97535934291582
433,2010-01-01,2028-12-31,28,2,2.0,False,227.97535934291582
465,2010-10-01,2025-05-31,12,6,1101.0,False,175.9671457905544
475,2009-06-01,2025-12-31,13,9,9.0,False,198.99794661190964
487,2011-05-01,2028-12-31,16,0,0.0,True,212.04106776180697
496,2011-07-01,2026-12-27,25,7,1463.0,False,185.88911704312116
509,2011-01-01,2012-03-31,1,0,0.0,True,14.948665297741274
518,2010-10-01,2025-06-30,10,4,3382.0,False,176.95277207392198
526,2010-07-01,2024-12-31,18,7,7.0,False,174.0287474332649
533,2011-04-01,2026-03-31,7,6,6.0,False,179.97535934291582
549,2010-04-01,2025-12-31,13,4,4.0,False,189.01026694045174
557,2010-03-01,2013-03-31,2,1,1.0,False,36.993839835728956
573,2012-05-01,2025-03-31,18,6,982.0,False,154.97330595482546
592,2011-04-01,2026-12-31,14,6,1131.0,False,189.01026694045174
604,2011-04-01,2012-09-30,1,0,0.0,True,18.0041067761807
609,2011-04-01,2014-09-30,2,1,1.0,False,41.987679671457904
615,2010-06-01,2024-09-30,9,6,644.0,False,171.99178644763862
625,2012-02-01,2025-12-31,11,8,373.0,False,166.96509240246405
632,2010-11-01,2026-12-31,10,8,739.0,False,193.9712525667351
633,2009-03-29,2028-12-31,39,5,456.0,False,237.1088295687885
637,2011-06-01,2026-06-30,17,9,9.0,False,180.96098562628336
650,2009-04-01,2025-06-30,21,11,11.0,False,194.95687885010267
679,2009-01-01,2025-12-31,28,9,9.0,False,203.95893223819303
683,2009-07-01,2025-12-31,12,5,1832.0,False,198.0123203285421
721,2011-04-01,2025-06-30,18,7,7.0,False,170.97330595482546
725,2010-04-01,2026-09-30,23,11,377.0,False,197.97946611909651
727,2010-07-01,2025-12-31,36,6,644.0,False,186.02053388090349
730,2011-07-01,2025-09-30,17,5,370.0,False,171.00616016427105
748,2011-04-01,2025-08-31,17,10,10.0,False,173.01026694045174
750,2010-04-01,2025-12-31,26,6,6.0,False,189.01026694045174
759,2011-03-01,2025-10-31,24,2,641.0,False,176.0328542094456
791,2011-04-01,2026-06-30,14,9,374.0,False,182.96509240246405
822,2011-04-01,2026-01-31,17,6,6.0,False,178.03696098562628
823,2011-06-01,2027-10-31,16,8,8.0,False,196.99383983572895
824,2011-04-01,2026-01-31,18,6,6.0,False,178.03696098562628
826,2011-04-01,2026-01-31,18,6,6.0,False,178.03696098562628
833,2009-01-01,2025-03-31,12,9,9.0,False,194.92402464065708
884,2010-02-01,2025-09-30,13,9,374.0,False,187.92607802874744
924,2011-04-01,2026-06-30,17,7,7.0,False,182.96509240246405
932,2011-01-01,2016-07-01,2,1,732.0,False,65.97125256673512
1022,2010-11-01,2024-12-31,15,8,1957.0,False,169.9876796714579
1060,2009-03-30,2025-01-05,25,8,283.0,False,189.24024640657083
1165,2010-07-01,2025-12-31,30,8,8.0,False,186.02053388090349
1188,2011-08-01,2025-10-31,9,8,1407.0,False,171.00616016427105
1285,2011-09-01,2026-12-31,18,6,6.0,False,183.9835728952772
1287,2010-02-01,2025-12-31,18,4,4.0,False,190.9486652977413
1291,2014-01-01,2022-12-31,7,1,1.0,False,107.95893223819301
1296,2011-01-01,2026-03-31,17,14,14.0,False,182.9322381930185
1345,2010-03-01,2025-12-31,7,5,1037.0,False,190.0287474332649
1393,2010-04-26,2026-12-31,14,7,98.0,False,200.1806981519507
1471,2011-06-01,2026-03-31,12,6,6.0,False,177.9712525667351
1494,2013-01-01,2025-10-31,18,5,583.0,False,153.9548254620123
